Entity,Code,Year,status
Tokelau,TKL,2021,Already above 40% vaccinated
Tonga,TON,2021,Already above 40% vaccinated
Trinidad and Tobago,TTO,2021,Already above 40% vaccinated
Tunisia,TUN,2021,On track to 40% vaccinated
Turkey,TUR,2021,Already above 40% vaccinated
Turks and Caicos Islands,TCA,2021,Already above 40% vaccinated
Tuvalu,TUV,2021,Already above 40% vaccinated
Uganda,UGA,2021,Not on track to 40% vaccinated
Ukraine,UKR,2021,Not on track to 40% vaccinated
United Arab Emirates,ARE,2021,Already above 40% vaccinated
United Kingdom,GBR,2021,Already above 40% vaccinated
United States,USA,2021,Already above 40% vaccinated
Upper middle income,,2021,Already above 40% vaccinated
Uruguay,URY,2021,Already above 40% vaccinated
Uzbekistan,UZB,2021,On track to 40% vaccinated
Vanuatu,VUT,2021,Not on track to 40% vaccinated
Venezuela,VEN,2021,On track to 40% vaccinated
Vietnam,VNM,2021,On track to 40% vaccinated
Wales,,2021,Already above 40% vaccinated
Wallis and Futuna,WLF,2021,Already above 40% vaccinated
World,OWID_WRL,2021,Already above 40% vaccinated
Yemen,YEM,2021,Not on track to 40% vaccinated
Zambia,ZMB,2021,Not on track to 40% vaccinated
Zimbabwe,ZWE,2021,Not on track to 40% vaccinated
